Rank,Title,Publisher,Developer,Total Sales,Release Date,Last Update,Genre
830,Disney's Aladdin in Nasira's Revenge,Sony Computer Entertainment,Argonaut Games,300000,3/15/2001,7/5/2021,Platform
831,Lode Runner,Broderbund,Douglas E. Smith,300000,6/23/1983,4/7/2022,Platform
832,Earth Defense Force 6,D3 Publisher,Sandlot,300000,8/25/2022,9/2/2022,Shooter
833,Slime Rancher 2,Monomi Park,Monomi Park,300000,9/22/2022,9/23/2022,Simulation
834,Atelier Ryza 3: Alchemist of the End & the Secret Key,Koei Tecmo,Gust,300000,3/24/2023,4/27/2023,Role-Playing
835,Dead to Rights II,Namco,WideScreen Games,290000,4/12/2005,11/21/2020,Action-Adventure
836,Lamborghini American Challenge,Titus,Titus France SA,290000,1/1/1994,6/27/2023,Racing
837,Curious George,Namco,Monkey Bar Games,280000,2/1/2006,11/21/2020,Platform
838,Persona 4 Arena Ultimax,Atlus,Arc System Works,280000,11/28/2013,2/18/2021,Fighting
839,Dynasty Warriors 9 Empires,Koei Tecmo,Omega Force,280000,2/15/2022,2/28/2022,Strategy
840,Pool of Radiance,Strategic Simulations,Strategic Simulations,260000,6/1/1988,3/26/2021,Role-Playing
841,Clash of the Titans,Namco Bandai Games,Game Republic,250000,7/27/2010,11/18/2020,Action-Adventure
842,Battle Stadium D.O.N,Namco Bandai Games,Eighting,250000,7/20/2006,11/21/2020,Fighting
843,Toukiden 2,Koei Tecmo,Omega Force,250000,3/21/2017,2/7/2021,Role-Playing
844,Riddle of the Sphinx: An Egyptian Adventure,DreamCatcher Interactive,Old World Studios,250000,12/5/2000,3/11/2021,Adventure
845,Crusader: No Remorse,Electronic Arts,Origin Systems,250000,8/31/1995,3/16/2021,Action
846,Panzer General,Strategic Simulations,Strategic Simulations,250000,1/1/1994,3/17/2021,Strategy
847,Dune II,Virgin Games,Westwood Studios,250000,12/1/1992,3/21/2021,Strategy
848,Wasteland,Electronic Arts,Interplay Productions,250000,1/2/1988,3/30/2021,Role-Playing
849,Virtual Pool,Interplay Productions,Celeris,250000,3/1/1997,3/30/2021,Sports
850,King's Quest III: To Heir Is Human,Sierra Online,Sierra On-Line,250000,10/1/1986,4/3/2021,Adventure
851,3-D Ultra Pinball,Sierra Online,Dynamix,250000,1/1/1995,4/5/2021,Misc
852,Leisure Suit Larry in the Land of the Lounge Lizards,Sierra Online,Sierra On-Line,250000,7/5/1987,4/7/2021,Adventure
853,Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work,Sierra Online,Sierra On-Line,250000,9/7/1991,4/7/2021,Adventure
854,Leisure Suit Larry 6: Shape Up or Slip Out!,Sierra Online,Sierra On-Line,250000,6/15/1993,4/7/2021,Adventure
855,Hoyle's Official Book of Games: Volume 1,Sierra Entertainment,Sierra Entertainment,250000,1/1/1989,4/8/2021,Misc
856,Quest for Glory: So You Want to Be a Hero,Sierra Online,Sierra On-Line,250000,10/1/1989,4/8/2021,Role-Playing
857,Touhou Luna Nights,Playism,Team Ladybug,250000,8/20/2018,4/12/2021,Platform
858,Grand Prix Simulator,Codemasters,Codemasters,250000,1/1/1987,7/18/2021,Racing
859,Evolution,Sydney Development Corporation,Distinctive Software,250000,1/1/1982,4/23/2022,Misc
860,The Duel: Test Drive II,Accolade,Distinctive Software,250000,1/1/1989,4/23/2022,Racing
861,Wolfenstein 3D,"Apogee Software, Ltd.",id Software,250000,5/5/1992,10/1/2022,Shooter
862,Age of Wonders 4,Paradox Interactive,Triumph Studios,250000,5/2/2023,5/10/2023,Strategy
863,Namco Museum 50th Anniversary,Namco,Digital Eclipse,240000,8/30/2005,11/21/2020,Misc
864,Senran Kagura Shinovi Versus,Xseed Games,Tamsoft,240000,10/14/2014,1/23/2021,Action
865,Still Life,The Adventure Company,Microids,240000,4/15/2005,3/8/2021,Adventure
866,Ninja Gaiden: Master Collection,Koei Tecmo,Team Ninja,240000,6/10/2021,7/27/2021,Action
867,Persona 4 Arena,Atlus,Arc System Works,220000,3/1/2012,12/7/2020,Fighting
868,Attack on Titan 2: Final Battle,Koei Tecmo,Omega Force,220000,7/5/2019,2/7/2021,Action
869,Nobunaga no Yabo: Tendo,Koei Tecmo,Koei Tecmo Games,200000,9/18/2009,10/16/2020,Strategy
870,Worms: Open Warfare,THQ,Team17,200000,3/22/2006,1/26/2021,Strategy
871,Fate/Extella: The Umbral Star,Xseed Games,Marvelous,200000,1/17/2017,1/30/2021,Action
872,Toukiden Kiwami,Koei Tecmo,Omega Force,200000,6/26/2015,2/5/2021,Role-Playing
873,Azur Lane: Crosswave,Idea Factory International,Felistella,200000,2/13/2020,2/19/2021,Shooter
874,Carrion,Devolver Digital,Phobia Game Studio,200000,7/23/2020,2/19/2021,Action
875,Romancing SaGa 2,Square,Square,200000,12/10/1993,2/20/2021,Role-Playing
876,Dracula: Resurrection,DreamCatcher Interactive,Index+,200000,6/1/2000,3/9/2021,Adventure
877,Atlantis II,DreamCatcher Interactive,Cryo Interactive,200000,11/1/1999,3/20/2021,Adventure
878,ClayFighter,Interplay Productions,Visual Concepts,200000,11/15/1993,3/29/2021,Fighting
879,Outpost,Sierra Online,Sierra On-Line,200000,1/1/1994,4/5/2021,Simulation
880,Wizardry: Proving Grounds of the Mad Overlord,Sirtech,Sir-Tech,200000,9/1/1981,4/6/2021,Role-Playing
881,Indianapolis 500: The Simulation,Electronic Arts,Papyrus Design Group,200000,1/1/1989,4/10/2021,Racing
882,Torin's Passage,Sierra Online,Sierra On-Line,200000,10/31/1995,4/10/2021,Adventure
883,Master of Orion II: Battle at Antares,Microprose,SimTex,200000,11/22/1996,4/20/2021,Strategy
884,Mean 18,Accolade,Microsmiths Inc.,200000,1/1/1986,4/25/2022,Sports
885,Atelier Sophie 2: The Alchemist of the Mysterious Dream,Koei Tecmo,Gust,200000,2/25/2022,5/11/2022,Role-Playing
886,Nobunaga's Ambition: Shinsei,Koei Tecmo,Koei Tecmo Games,200000,7/21/2022,11/4/2022,Strategy
887,Dead or Alive Xtreme 3,Koei Tecmo,Team Ninja,190000,3/24/2016,10/16/2020,Sports
888,Samurai Warriors 4-II,KOEI,Koei Tecmo Games,180000,2/11/2015,10/16/2020,Action
889,Romance of the Three Kingdoms XIII,Koei Tecmo,Koei,180000,1/28/2016,10/16/2020,Strategy
890,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Koei Tecmo,Gust,180000,12/21/2017,10/17/2020,Role-Playing
891,Curse of the Azure Bonds,Strategic Simulations,Strategic Simulations,180000,1/1/1989,3/22/2021,Role-Playing
892,IndyCar Racing II,Papyrus,Papyrus Design Group,180000,1/1/1995,4/10/2021,Racing
893,Taiko Risshiden V DX,Koei Tecmo,Koei Tecmo Games,180000,5/19/2022,8/3/2022,Strategy
894,Atelier Sophie: The Alchemist of the Mysterious Book,Koei Tecmo,Gust,170000,11/19/2015,10/16/2020,Role-Playing
895,Akiba's Trip,Acquire,Acquire,170000,5/19/2011,2/3/2021,Action
896,Secret of the Silver Blades,Strategic Simulations,"Strategic Simulations, Inc.",170000,1/1/1990,3/22/2021,Role-Playing
897,Shattered Steel,Interplay Productions,BioWare,170000,10/1/1996,3/30/2021,Shooter
898,BMX XXX,Acclaim Entertainment,Z-Axis,160000,11/15/2002,9/30/2022,Sports
899,Prehistorik Man,Titus,Titus France SA,160000,1/25/1996,6/27/2023,Platform
900,Nights of Azure,Koei Tecmo,Gust,150000,3/29/2016,2/7/2021,Role-Playing
901,Labyrinth of Refrain: Coven of Dusk,Nippon Ichi Software,Nippon Ichi Software,150000,9/18/2018,2/9/2021,Role-Playing
902,China: The Forbidden City,Cryo Interactive,Cryo Interactive Entertainment,150000,1/1/1998,3/11/2021,Adventure
903,Ripper,Take-Two Interactive,Take-Two Interactive,150000,3/1/1986,3/27/2021,Adventure
904,M.A.X.: Mechanized Assault & Exploration,Interplay Productions,Interplay Productions,150000,1/1/1996,3/30/2021,Strategy
905,Dead or Alive 5 Ultimate,Tecmo Koei,Team Ninja,140000,9/3/2013,2/5/2021,Fighting
906,Warriors All-Stars,Koei Tecmo,Omega Force,130000,3/30/2017,10/17/2020,Action
907,Nobunaga's Ambition: Taishi,Koei Tecmo,Koei Tecmo Games,130000,11/30/2017,10/17/2020,Strategy
908,Mobile Suit Gundam Side Stories,Namco Bandai Games,B.B. Studio,130000,5/29/2014,11/23/2020,Action
909,Bionic Commando Rearmed,Capcom,GRIN,130000,8/14/2008,2/14/2021,Platform
910,Egypt II: The Heliopolis Prophecy,Cryo Interactive,Cryo Interactive,130000,9/27/2000,3/11/2021,Adventure
911,Eye of the Beholder,Unknown,Westwood Associates,130000,,3/24/2021,Role-Playing
912,The Fantastic Adventures of Dizzy,Codemasters,Codemasters,130000,4/1/1991,7/18/2021,Adventure
913,NFL Blitz Pro,Midway Games,Midway Games,130000,10/28/2003,4/26/2022,Sports
914,Ultima III: Exodus,Origin Systems,Origin Systems,120000,8/23/1983,3/15/2021,Role-Playing
915,Star Control,Accolade,Toys for Bob,120000,7/1/1990,3/18/2021,Strategy
916,Amnesia: A Machine for Pigs,Frictional Games,The Chinese Room,120000,9/10/2013,3/18/2021,Adventure
917,Blue Reflection: Second Light,Koei Tecmo,Gust,120000,11/9/2021,2/28/2022,Role-Playing
918,Fatal Frame: Mask of the Lunar Eclipse,Koei Tecmo,Koei Tecmo Games,120000,3/9/2023,4/28/2023,Adventure
919,Blaster Master Zero,Inti Creates,Inti Creates,110000,3/9/2017,2/3/2021,Action-Adventure
920,Bullet Girls Phantasia,D3 Publisher,SHADE Inc.,100000,1/17/2020,10/10/2020,Role-Playing
921,Frontier: First Encounters,GameTek,Frontier Developments,100000,4/1/1995,1/19/2021,Simulation
922,Senran Kagura: Estival Versus,Marvelous Entertainment,Tamsoft,100000,3/15/2016,1/23/2021,Action
923,God Wars: Future Past,NIS America,Kadokawa Games,100000,6/20/2017,1/24/2021,Role-Playing
924,Gal Gun: Double Peace,PQube,Inti Creates,100000,8/2/2016,1/30/2021,Shooter
925,Samurai Warriors 4: Empires,KOEI,Omega Force,100000,3/15/2016,2/7/2021,Action
926,Romance of the Three Kingdoms XIV: Diplomacy and Strategy Expansion Pack,Koei Tecmo,Koei Tecmo Games,100000,12/10/2020,3/5/2021,Strategy
927,Might and Magic: The Secret of the Inner Sanctum,New World Computing,New World Computing,100000,1/1/1986,3/13/2021,Role-Playing
928,Amnesia: Rebirth,Frictional Games,Frictional Games,100000,10/20/2020,3/17/2021,Adventure
929,Deadlock: Planetary Conquest,Accolade,Accolade,100000,8/28/1996,3/18/2021,Strategy
930,Skylanders: Imaginators,Activision,Toys for Bob,100000,10/16/2016,3/18/2021,Platform
931,Macadam Bumper,Accolade,ERE Informatique,100000,1/1/1988,3/20/2021,Misc
932,The Last Express,Broderbund,Smoking Car Productions,100000,3/30/1997,3/28/2021,Adventure
933,VR Baseball '97,Interplay Entertainment Corp.,VR Sports,100000,1/1/1997,3/30/2021,Sports
934,King's Quest IV: The Perils of Rosella,Sierra Online,Sierra On-Line,100000,9/1/1988,4/3/2021,Adventure
935,Choplifter,Broderbund,Dan Gorlin,100000,5/21/1982,4/6/2021,Shooter
936,The Fool's Errand,Miles Computing,Cliff Johnson,100000,1/1/1987,4/8/2021,Puzzle
937,Men in Black: The Game,SouthPeak Interactive,Gigawatt Studios,100000,11/18/1997,4/14/2021,Adventure
938,PHM Pegasus,Electronic Arts,Lucasfilm Games,100000,1/1/1986,7/13/2021,Simulation
939,The Dam Busters,Accolade,Sydney Development,100000,1/1/1984,4/23/2022,Simulation
940,Ace of Aces,Accolade,Distinctive Software,100000,1/1/1986,4/23/2022,Simulation
941,Grand Prix Circuit,Accolade,Distinctive Software,100000,1/1/1988,4/23/2022,Racing
942,HardBall II,Accolade,Distinctive Software,100000,1/1/1989,4/23/2022,Sports
943,Pocky & Rocky Reshrined,Natsume Atari,Tengo Project,100000,6/23/2022,7/14/2022,Shooter
944,Winning Post 9 2022,Koei Tecmo,Koei Tecmo Games,100000,4/14/2022,8/3/2022,Simulation
945,The Pagemaster,Fox Interactive,Probe Software,100000,11/23/1994,9/28/2022,Platform
946,Mindshadow,Activision,Interplay Productions,100000,1/1/1984,9/29/2022,Adventure
947,The Ancient Art of War at Sea,Broderbund,Evryware,100000,1/1/1987,10/5/2022,Strategy
948,Manhunter: New York,Sierra Online,Evryware,100000,1/1/1988,10/5/2022,Adventure
949,Manhunter 2: San Francisco,Sierra Online,Evryware,100000,6/1/1989,10/5/2022,Adventure
950,Pompei: The Legend of Vesuvius,Cryo Interactive,Arxel Tribe,90000,1/1/2000,3/11/2021,Adventure
951,Heroes of the Lance,Strategic Simulations,U.S. Gold,90000,1/1/1988,3/26/2021,Action-Adventure
952,Blue Reflection,Koei Tecmo,Gust,80000,9/26/2017,10/17/2020,Role-Playing
953,Hillsfar,Westwood Studios,Westwood,80000,1/1/1989,3/22/2021,Role-Playing
954,Winning Post 9 2021,Koei Tecmo,Koei Tecmo Games,80000,4/15/2021,7/27/2021,Simulation
955,LarryBoy and the Bad Apple,Crave Entertainment,Papaya Studios,80000,8/8/2006,9/26/2022,Platform
956,Uncharted Waters IV HD Version,Koei Tecmo,Koei Tecmo Games,70000,5/20/2021,7/27/2021,Role-Playing
957,Winning Post 10,Koei Tecmo,Koei Tecmo Games,70000,3/30/2023,4/28/2023,Simulation
958,Arslan: The Warriors of Legend,KOEI,Koei Tecmo Games,60000,2/9/2016,2/7/2021,Action
959,Dragons of Flame,Strategic Simulations,U.S. Gold,60000,1/1/1989,3/22/2021,Action-Adventure
960,Gateway to the Savage Frontier,Strategic Simulations,Beyond Software,60000,1/1/1991,3/22/2021,Role-Playing
961,Wargame Construction Set,Strategic Simulations,Strategic Simulations,60000,1/1/1986,3/25/2021,Strategy
962,Shamus,Atarisoft,Synapse Software,60000,1/1/1982,6/24/2023,Shooter
963,Blue Max,U.S. Gold,Synapse Software,60000,1/1/1983,6/24/2023,Shooter
964,Omega Labyrinth Life,D3 Publisher,Matrix Games,50000,12/10/2019,10/10/2020,Role-Playing
965,Metal Max Xeno,NIS America,Kadokawa Games,50000,9/25/2018,2/8/2021,Role-Playing
966,Allied General,Strategic Simulations,Strategic Simulations,50000,1/31/1996,3/17/2021,Strategy
967,Buck Rogers: Countdown to Doomsday,Strategic Simulations,Strategic Simulations,50000,1/1/1990,3/22/2021,Role-Playing
968,Computer Baseball,Strategic Simulations,Strategic Simulations,50000,1/1/1981,3/24/2021,Sports
969,Gemstone Warrior,Strategic Simulations,Paradigm Creators,50000,1/1/1984,3/24/2021,Action-Adventure
970,Phantasie,Strategic Simulations,Strategic Simulations,50000,1/1/1985,3/25/2021,Role-Playing
971,Wizard's Crown,Strategic Simulations,Strategic Simulations,50000,1/1/1986,3/25/2021,Role-Playing
972,Phantasie III: The Wrath of Nikademus,Strategic Simulations,Strategic Simulations,50000,1/1/1987,3/25/2021,Role-Playing
973,Castle Wolfenstein,Muse Software,Muse Software,50000,9/1/1981,4/6/2021,Action-Adventure
974,Monster Boy and the Cursed Kingdom,FDG Entertainment,Game Atelier,50000,12/4/2018,5/22/2021,Platform
975,Arcana Heart 3,Aksys Games,Team Arcana,50000,4/19/2011,7/17/2021,Fighting
976,Monark,FuRyu Corporation,Lancarse,50000,2/22/2022,10/21/2021,Role-Playing
977,Fox Hunt,Capcom,3Vision Gamers,50000,1/31/1996,9/30/2022,Adventure
978,Samurai Maiden,Unknown,SHADE Inc.,50000,,12/12/2022,Action
979,Disgaea 7,Nippon Ichi Software,Nippon Ichi Software,50000,1/26/2023,2/10/2023,Role-Playing
980,The Dark Queen of Krynn,Strategic Simulations,MicroMagic,40000,1/1/1992,3/22/2021,Role-Playing
981,Roadwar 2000,Strategic Simulations,Strategic Simulations,40000,1/1/1986,3/25/2021,Strategy
982,Blood Money,Psygnosis,DMA Design,40000,5/1/1989,4/23/2021,Shooter
983,Neverwinter Nights: Darkness over Daggerford,Ossian Studios,Ossian Studios,30000,8/16/2006,3/15/2021,Role-Playing
984,A Vampyre Story,The Adventure Company,Autumn Moon Entertainment,30000,12/2/2008,3/22/2021,Adventure
985,DragonStrike,Strategic Simulations,Westwood Associates,30000,1/1/1990,3/23/2021,Misc
986,Forgotten Realms: Unlimited Adventures,Strategic Simulations,MicroMagic,30000,3/17/1993,3/24/2021,Role-Playing
987,Phantasie II,Strategic Simulations,Strategic Simulations,30000,1/1/1986,3/25/2021,Role-Playing
988,Dungeon Masters Assistant Volume I: Encounters,Strategic Simulations,Strategic Simulations,30000,1/1/1989,3/26/2021,Role-Playing
989,Wizard and the Princess,Sierra Online,On-Line Systems,30000,1/1/1980,4/2/2021,Adventure
990,Raster Blaster,BudgeCo,Bill Budge,30000,1/1/1981,4/6/2021,Misc
991,FS1 Flight Simulator,Sublogic,Sublogic,30000,1/1/1979,4/7/2021,Simulation
992,Threshold,Sierra Entertainment,On-Line Systems,30000,1/1/1981,4/5/2022,Shooter
993,The Race Against Time,Codemasters,Codemasters,30000,4/1/1988,4/25/2022,Adventure
994,War of the Lance,Strategic Simulations,"Strategic Simulations, Inc",20000,1/1/1989,3/22/2021,Strategy
995,Rings of Zilfin,Strategic Simulations,Strategic Simulations,20000,1/1/1986,3/25/2021,Role-Playing
996,The Eternal Dagger,Strategic Simulations,Strategic Simulations,20000,1/1/1987,3/25/2021,Role-Playing
997,Roadwar Europa,Strategic Simulations,Strategic Simulations,20000,1/1/1987,3/25/2021,Strategy
998,Apple Panic,Broderbund,Ben Serki,20000,1/1/1981,4/6/2021,Platform
999,Pool 1.5,Innovative Design Software,Innovative Design Software,20000,1/1/1981,4/6/2021,Sports
1000,Menace,Psygnosis,DMA Design,20000,1/1/1988,4/23/2021,Shooter
1001,Twin Breaker: A Sacred Symbols Adventure,Lillymo Games Inc,Lillymo Games Inc,10000,9/23/2020,2/19/2021,Action
1002,Computer Bismarck,Strategic Simulations,"Strategic Simulations, Inc.",10000,2/1/1980,3/24/2021,Strategy
1003,Gemstone Healer,Strategic Simulations,Paradigm Creators,10000,1/1/1986,3/25/2021,Action-Adventure
1004,Shard of Spring,Strategic Simulations,TX Digital Illusions,10000,1/1/1986,3/25/2021,Role-Playing
1005,Realms of Darkness,Strategic Simulations,Strategic Simulations,10000,1/1/1986,3/25/2021,Role-Playing
1006,The Warp Factor,Strategic Simulations,Strategic Simulations,10000,1/1/1980,4/6/2021,Simulation
1007,Horizon V,Gebelli Software,Gebelli Software,10000,1/1/1982,4/6/2021,Misc
1008,Canyon Climber,Tandy Corporation,Steve Bjork,10000,1/1/1982,4/6/2021,Platform
1009,DragonQuest,Enix,Simulations Publications,10000,5/27/1986,4/6/2021,Role-Playing
1010,Rear Guard,Adventure International,Adventure International,0,12/1/1981,4/6/2021,Shooter
1011,Far Cry 6,Ubisoft,Ubisoft Toronto,,10/7/2021,10/28/2020,Shooter
1012,Diablo IV,Blizzard Entertainment,Blizzard Entertainment,,12/1/2022,10/29/2020,Role-Playing
1013,Fallout 3,Bethesda Softworks,Bethesda Game Studios,,10/28/2008,10/30/2020,Role-Playing
1014,Fallout: New Vegas,Bethesda Softworks,Obsidian Entertainment,,10/19/2010,10/30/2020,Role-Playing
1015,Fallout 76,Bethesda Softworks,Bethesda Game Studios,,11/14/2018,10/30/2020,Role-Playing
1016,Medal of Honor: Warfighter,Electronic Arts,Danger Close Games,,10/23/2012,11/2/2020,Shooter
1017,Football Manager 2016,Sega,Sports Interactive,,11/13/2015,11/13/2020,Simulation
1018,Football Manager 2017,Sega,Sports Interactive,,11/4/2016,11/13/2020,Simulation
1019,Ben 10: Power Trip!,Outright Games,PHL Collective,,10/9/2020,11/18/2020,Action-Adventure
1020,Bright Memory,Playism,FYQD Personal Studio,,1/12/2019,12/9/2020,Shooter
1021,Farming Simulator 20,Focus Home Interactive,Giants Software,,12/3/2019,12/18/2020,Simulation
1022,Akiba's Trip: Hellbound & Debriefed,Xseed Games,Acquire,,7/20/2021,2/3/2021,Action
1023,Dracula 4: The Shadow of the Dragon,Anuman,Koalabs Studio,,6/18/2013,3/9/2021,Adventure
1024,Dracula 5: The Blood Legacy,Anuman,Koalabs Studio,,11/2/2013,3/9/2021,Adventure
1025,Railroad Tycoon II,Gathering of Developers,PopTop Software,,11/2/1998,3/12/2021,Simulation
1026,Le Temple perdu de l'oncle Ernest,Emme Interactive,Lexis Numerique,,1/1/2003,3/22/2021,Adventure
1027,La Statuette maudite de l'oncle Ernest,Emme Interactive,Lexis Numerique,,1/1/2004,3/22/2021,Adventure
1028,Comanche,THQ Nordic,NUKKLEAR,,3/12/2020,3/27/2021,Simulation
1029,Edna & Harvey: Harvey's New Eyes,Daedalic Entertainment,Daedalic Entertainment,,8/26/2011,4/1/2021,Adventure
1030,Football Manager 2022,Unknown,Sports Interactive,,,9/11/2021,Simulation
1031,Deltarune Chapter 2,Unknown,Toby Fox,,,12/23/2021,Role-Playing
1032,Days Gone,Sony Interactive Entertainment,SIE Bend Studio,,4/26/2019,1/6/2022,Action-Adventure
1033,ARK II,Unknown,Studio Wildcard,,,6/13/2022,Action-Adventure
1034,Football Manager 2023,Unknown,Sports Interactive,,,10/30/2022,Simulation
